team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
ARS,15,"Saliba (DEF, ^^) ==> (4.458, 8.174)","Gabriel (DEF, ^) ==> (4.306, 7.894)","Kiwior (DEF, ^^^) ==> (4.275, 7.838)","White (DEF, ^^) ==> (4.067, 7.457)","Raya (GKP, ~) ==> (3.938, 7.22)"
EVE,7,"Branthwaite (DEF, ~) ==> (3.949, 5.485)","Pickford (GKP, v) ==> (3.242, 4.502)","Mykolenko (DEF, v) ==> (3.045, 4.229)","Tarkowski (DEF, vv) ==> (2.436, 3.383)","Young (DEF, ^) ==> (2.253, 3.129)"
LIV,5,"Bradley (DEF, vv) ==> (6.978, 8.916)","Virgil (DEF, ~) ==> (3.494, 4.465)","Kelleher (GKP, ~) ==> (2.465, 3.15)","Robertson (DEF, ^) ==> (2.356, 3.011)","Gomez (DEF, vv) ==> (2.218, 2.834)"
MUN,5,"Maguire (DEF, ^) ==> (3.691, 4.716)","Onana (GKP, ~) ==> (3.538, 4.521)","Dalot (DEF, ~) ==> (3.276, 4.187)","Shaw (DEF, vv) ==> (2.371, 3.029)","R.Varane (DEF, ~) ==> (1.833, 2.342)"
AVL,5,"Martinez (GKP, v) ==> (3.324, 4.247)","Alex Moreno (DEF, vv) ==> (3.182, 4.066)","Lenglet (DEF, vv) ==> (2.447, 3.127)","Diego Carlos (DEF, vv) ==> (2.047, 2.616)","Cash (DEF, v) ==> (1.865, 2.383)"
MCI,4,"Ederson M. (GKP, ^^^) ==> (4.011, 4.903)","Aké (DEF, ^^) ==> (3.738, 4.569)","Akanji (DEF, ^^^) ==> (3.485, 4.26)","Stones (DEF, ^^^) ==> (3.238, 3.958)","Rúben (DEF, ^^^) ==> (3.082, 3.767)"
TOT,3,"Udogie (DEF, vv) ==> (3.382, 3.946)","Vicario (GKP, ~) ==> (2.742, 3.199)","Pedro Porro (DEF, vv) ==> (2.73, 3.185)","Romero (DEF, v) ==> (2.56, 2.986)","Van de Ven (DEF, ~) ==> (2.374, 2.77)"
BHA,3,"Dunk (DEF, ^^^) ==> (4.648, 5.423)","Lamptey (DEF, ~) ==> (2.582, 3.012)","Verbruggen (GKP, ~) ==> (2.5, 2.917)","Van Hecke (DEF, ~) ==> (2.253, 2.628)","Igor (DEF, ~) ==> (1.062, 1.239)"
WHU,3,"Areola (GKP, v) ==> (2.974, 3.47)","Emerson (DEF, ^^^) ==> (2.953, 3.445)","Coufal (DEF, ~) ==> (2.189, 2.554)","Zouma (DEF, vv) ==> (1.665, 1.943)","Johnson (DEF, vv) ==> (1.171, 1.366)"
WOL,2,"José Sá (GKP, ~) ==> (2.985, 3.317)","Kilman (DEF, ~) ==> (2.891, 3.212)","Aït-Nouri (DEF, ^^^) ==> (2.749, 3.055)","Dawson (DEF, ~) ==> (2.724, 3.026)","Toti (DEF, ~) ==> (2.309, 2.566)"
CRY,1,"Andersen (DEF, ~) ==> (3.124, 3.297)","Johnstone (GKP, ^) ==> (3.065, 3.235)","C.Richards (DEF, ^^^) ==> (2.717, 2.868)","Mitchell (DEF, ^) ==> (2.494, 2.633)","Ward (DEF, ^^) ==> (2.247, 2.372)"
BOU,1,"Neto (GKP, ~) ==> (3.142, 4.887)","Senesi (DEF, ~) ==> (2.833, 4.406)","Smith (DEF, v) ==> (2.08, 3.235)","Zabarnyi (DEF, v) ==> (1.771, 2.755)","Kerkez (DEF, ~) ==> (1.556, 2.421)"
NEW,-3,"Trippier (DEF, vv) ==> (4.118, 3.432)","Schär (DEF, ~) ==> (2.933, 2.444)","Burn (DEF, ~) ==> (2.374, 1.978)","Dubravka (GKP, vv) ==> (2.174, 1.812)","Livramento (DEF, v) ==> (1.294, 1.079)"
CHE,-3,"Petrović (GKP, ~) ==> (2.88, 2.4)","T.Silva (DEF, vv) ==> (2.747, 2.289)","Gusto (DEF, ^^) ==> (2.371, 1.976)","Colwill (DEF, v) ==> (2.098, 1.748)","Chilwell (DEF, ^^) ==> (1.356, 1.13)"
FUL,-4,"Robinson (DEF, ~) ==> (3.006, 2.338)","Leno (GKP, ~) ==> (2.865, 2.228)","Castagne (DEF, ~) ==> (2.562, 1.993)","Bassey (DEF, ^^^) ==> (2.244, 1.745)","Diop (DEF, v) ==> (1.927, 1.499)"
BUR,-6,"Trafford (GKP, ~) ==> (2.294, 1.53)","O'Shea (DEF, ^) ==> (1.862, 1.241)","Al-Dakhil (DEF, vv) ==> (1.462, 0.975)","Vitinho (DEF, ~) ==> (1.371, 0.914)","Assignon (DEF, vv) ==> (1.2, 0.8)"
LUT,-8,"Doughty (DEF, vv) ==> (2.374, 2.506)","Kaminski (GKP, ~) ==> (2.309, 2.437)","Osho (DEF, vv) ==> (1.994, 2.105)","Bell (DEF, ~) ==> (1.433, 1.512)","Burke (DEF, vv) ==> (1.365, 1.441)"
BRE,-9,"Flekken (GKP, ~) ==> (3.32, 1.66)","Reguilón (DEF, ^^^) ==> (2.553, 1.276)","Collins (DEF, ~) ==> (2.194, 1.097)","Mee (DEF, ~) ==> (2.133, 1.066)","Roerslev (DEF, ~) ==> (1.876, 0.938)"
SHU,-11,"Foderingham (GKP, ~) ==> (1.994, 0.776)","Bogle (DEF, ~) ==> (1.356, 0.527)","Lowe (DEF, ^^^) ==> (1.324, 0.515)","Ahmedhodžić (DEF, ~) ==> (1.047, 0.407)","Robinson (DEF, ~) ==> (0.862, 0.335)"
NFO,-12,"Sels (GKP, ^) ==> (2.8, 0.933)","Murillo (DEF, ~) ==> (2.0, 0.667)","Williams (DEF, ^) ==> (1.753, 0.584)","Tavares (DEF, ^^^) ==> (1.706, 0.569)","Niakhaté (DEF, ^^^) ==> (1.676, 0.559)"
