team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
LIV,8,"A.Becker (GKP, 4↑) ==> (1.0, 2.63)","Robertson (DEF, ~) ==> (1.0, 2.184)","Konaté (DEF, 3↑) ==> (1.0, 2.0)","Virgil (DEF, 3↑) ==> (5.0, 1.944)","Alexander-Arnold (DEF, 5↑) ==> (2.0, 1.944)"
ARS,6,"Raya (GKP, 1↓) ==> (2.5, 2.722)","Gabriel (DEF, ~) ==> (2.0, 1.833)","Saliba (DEF, 1↓) ==> (2.0, 1.833)","J.Timber (DEF, ~) ==> (2.0, 1.833)","Zinchenko (DEF, ~) ==> (0.0, 0.0)"
NEW,6,"Hall (DEF, 2↑) ==> (2.0, 1.833)","Livramento (DEF, 2↓) ==> (1.5, 1.833)","Burn (DEF, 2↓) ==> (1.0, 1.833)","Dúbravka (GKP, 2↑) ==> (0.0, 0.0)","Botman (DEF, ~) ==> (0.0, 0.0)"
CRY,5,"Henderson (GKP, 3↑) ==> (2.0, 3.056)","Guéhi (DEF, 4↑) ==> (2.0, 1.778)","Muñoz (DEF, 4↑) ==> (2.0, 1.778)","Lacroix (DEF, 4↑) ==> (2.0, 1.778)","C.Richards (DEF, 4↑) ==> (0.0, 0.597)"
BHA,5,"Verbruggen (GKP, ~) ==> (2.0, 2.63)","Veltman (DEF, ~) ==> (1.0, 1.889)","Dunk (DEF, ~) ==> (1.0, 1.889)","Van Hecke (DEF, ~) ==> (1.0, 1.778)","Estupiñan (DEF, ~) ==> (1.0, 1.778)"
FUL,4,"Leno (GKP, 4↑) ==> (3.0, 2.759)","Andersen (DEF, 3↑) ==> (0.0, 1.861)","Robinson (DEF, 4↑) ==> (3.0, 1.611)","Bassey (DEF, 4↑) ==> (2.0, 1.611)","Castagne (DEF, 4↑) ==> (0.0, 0.606)"
NFO,3,"Sels (GKP, 3↓) ==> (3.0, 2.889)","N.Williams (DEF, 1↓) ==> (1.0, 1.884)","Milenković (DEF, ~) ==> (5.5, 1.667)","Aina (DEF, 2↑) ==> (2.0, 1.667)","Murillo (DEF, ~) ==> (2.0, 1.667)"
EVE,1,"Pickford (GKP, ~) ==> (2.0, 2.593)","Branthwaite (DEF, ~) ==> (1.0, 2.0)","Young (DEF, 2↓) ==> (2.0, 1.556)","Tarkowski (DEF, ~) ==> (2.0, 1.556)","Mykolenko (DEF, ~) ==> (2.0, 1.556)"
MCI,1,"Gvardiol (DEF, 3↑) ==> (2.0, 1.556)","Akanji (DEF, 3↑) ==> (1.0, 1.556)","Lewis (DEF, ~) ==> (1.5, 1.517)","Ortega Moreno (GKP, ~) ==> (0.0, 0.0)","Aké (DEF, ~) ==> (0.0, 0.0)"
BOU,1,"Arrizabalaga (GKP, ~) ==> (2.0, 2.519)","Kerkez (DEF, 4↑) ==> (2.0, 1.556)","Zabarnyi (DEF, ~) ==> (2.0, 1.556)","Huijsen (DEF, 1↑) ==> (1.0, 1.026)","Travers (GKP, ~) ==> (0.0, 0.0)"
TOT,1,"Pedro Porro (DEF, ~) ==> (2.0, 1.556)","Dragusin (DEF, 1↓) ==> (0.5, 1.385)","Spence (DEF, ~) ==> (0.0, 0.0)","Kinsky (GKP, 2↑) ==> (0.0, 0.0)","Reguilón (DEF, ~) ==> (0.0, 0.0)"
AVL,1,"Martinez (GKP, ~) ==> (2.0, 2.315)","Konsa (DEF, ~) ==> (1.0, 1.556)","Cash (DEF, 2↑) ==> (1.0, 1.484)","Digne (DEF, 3↑) ==> (2.0, 1.4)","Mings (DEF, ~) ==> (0.0, 0.0)"
BRE,0,"Flekken (GKP, 1↑) ==> (3.0, 2.667)","Collins (DEF, ~) ==> (1.0, 1.0)","Van den Berg (DEF, ~) ==> (1.0, 1.0)","Roerslev (DEF, ~) ==> (1.0, 0.446)","Ji-soo (DEF, ~) ==> (0.0, 0.0)"
CHE,-3,"Sánchez (GKP, ~) ==> (2.0, 2.222)","Chalobah (DEF, 4↑) ==> (1.0, 1.749)","Cucurella (DEF, 5↑) ==> (1.5, 1.333)","Colwill (DEF, 2↓) ==> (1.0, 1.333)","Tosin (DEF, 5↑) ==> (0.0, 0.256)"
MUN,-5,"Onana (GKP, 1↓) ==> (2.0, 1.454)","Mazraoui (DEF, ~) ==> (1.0, 1.222)","De Ligt (DEF, ~) ==> (1.0, 0.856)","Dalot (DEF, ~) ==> (1.0, 0.833)","Yoro (DEF, ~) ==> (0.0, 0.0)"
WHU,-5,"Fabianski (GKP, ~) ==> (1.0, 1.526)","Wan-Bissaka (DEF, ~) ==> (2.0, 1.222)","Mavropanos (DEF, 3↓) ==> (1.0, 1.222)","Kilman (DEF, ~) ==> (1.0, 0.833)","Emerson (DEF, ~) ==> (1.0, 0.66)"
SOU,-6,"Ramsdale (GKP, ~) ==> (1.5, 1.444)","Bednarek (DEF, 4↑) ==> (1.0, 1.167)","Manning (DEF, ~) ==> (0.0, 0.133)","McCarthy (GKP, ~) ==> (0.0, 0.0)","Bree (DEF, ~) ==> (0.0, 0.0)"
IPS,-7,"Greaves (DEF, 2↓) ==> (0.0, 2.0)","O'Shea (DEF, 2↓) ==> (1.0, 1.111)","Davis (DEF, 2↓) ==> (1.5, 1.056)","Walton (GKP, ~) ==> (0.0, 0.0)","Woolfenden (DEF, ~) ==> (0.0, 0.0)"
WOL,-7,"José Sá (GKP, ~) ==> (1.0, 0.815)","Aït-Nouri (DEF, ~) ==> (1.0, 0.611)","S.Bueno (DEF, ~) ==> (1.0, 0.417)","Doherty (DEF, 4↑) ==> (0.5, 0.153)","Dawson (DEF, ~) ==> (1.0, -0.304)"
LEI,-9,"Justin (DEF, ~) ==> (1.0, 0.5)","Kristiansen (DEF, ~) ==> (1.0, 0.5)","Okoli (DEF, ~) ==> (0.0, 0.0)","Stolarczyk (GKP, ~) ==> (0.0, 0.0)","Vestergaard (DEF, ~) ==> (0.0, -0.588)"
