team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
CRY,9,"Mitchell (DEF, ?) ==> (6.0, 4.5)","Muñoz (DEF, ?) ==> (5.0, 4.5)","Henderson (GKP, ?) ==> (3.0, 4.167)","Lacroix (DEF, ?) ==> (4.0, 3.5)","Richards (DEF, ?) ==> (4.0, 3.5)"
MCI,4,"O’Reilly (DEF, ?) ==> (5.0, 3.638)","Donnarumma (GKP, ?) ==> (2.0, 3.222)","Matheus N. (DEF, ?) ==> (2.0, 2.889)","Gvardiol (DEF, ?) ==> (2.0, 2.889)","Rúben (DEF, ?) ==> (4.0, 2.389)"
SUN,4,"Roefs (GKP, ?) ==> (4.0, 4.167)","Mukiele (DEF, ?) ==> (4.0, 2.389)","Hume (DEF, ?) ==> (2.0, 1.944)","Ballard (DEF, ?) ==> (2.0, 1.774)","Geertruida (DEF, ?) ==> (1.0, 0.434)"
BOU,4,"Petrović (GKP, ?) ==> (3.0, 3.278)","Truffert (DEF, ?) ==> (3.0, 2.833)","Senesi (DEF, ?) ==> (3.0, 1.944)","A.Jimenez (DEF, ?) ==> (0.0, 0.642)","Milosavljević (DEF, ?) ==> (0.0, 0.0)"
CHE,3,"Chalobah (DEF, ?) ==> (6.0, 2.667)","Sánchez (GKP, ?) ==> (3.0, 2.5)","Gusto (DEF, ?) ==> (2.0, 2.193)","Cucurella (DEF, ?) ==> (6.0, 2.167)","Fofana (DEF, ?) ==> (0.0, 0.0)"
AVL,3,"Digne (DEF, ?) ==> (5.0, 2.883)","Martinez (GKP, ?) ==> (2.0, 2.5)","Cash (DEF, ?) ==> (2.0, 2.167)","Pau (DEF, ?) ==> (1.0, 1.958)","Konsa (DEF, ?) ==> (2.0, 1.833)"
LIV,2,"Konaté (DEF, ?) ==> (3.0, 1.944)","Virgil (DEF, ?) ==> (3.0, 1.222)","Robertson (DEF, ?) ==> (0.0, 0.578)","Mamardashvili (GKP, ?) ==> (0.0, 0.0)","Gomez (DEF, ?) ==> (0.0, 0.0)"
ARS,1,"Gabriel (DEF, ?) ==> (9.0, 7.333)","J.Timber (DEF, ?) ==> (6.0, 6.444)","Raya (GKP, ?) ==> (6.0, 6.333)","Calafiori (DEF, ?) ==> (6.0, 6.089)","Saliba (DEF, ?) ==> (2.0, 2.222)"
FUL,1,"Leno (GKP, ?) ==> (2.0, 2.611)","Andersen (DEF, ?) ==> (3.0, 1.611)","Tete (DEF, ?) ==> (2.0, 1.611)","Bassey (DEF, ?) ==> (1.0, 1.611)","Castagne (DEF, ?) ==> (1.0, 0.518)"
MUN,1,"Shaw (DEF, ?) ==> (2.0, 1.611)","Yoro (DEF, ?) ==> (1.0, 1.186)","De Ligt (DEF, ?) ==> (2.0, 1.111)","Dalot (DEF, ?) ==> (1.0, 1.046)","Lammens (GKP, ?) ==> (0.0, 0.0)"
BHA,0,"Verbruggen (GKP, ?) ==> (2.0, 2.167)","Van Hecke (DEF, ?) ==> (3.0, 1.5)","Dunk (DEF, ?) ==> (2.0, 1.5)","F.Kadıoğlu (DEF, ?) ==> (2.0, 1.5)","De Cuyper (DEF, ?) ==> (1.0, 0.021)"
LEE,0,"Perri (GKP, ?) ==> (0.0, 2.0)","Rodon (DEF, ?) ==> (2.0, 1.0)","Bogle (DEF, ?) ==> (2.0, 1.0)","Gudmundsson (DEF, ?) ==> (1.0, 1.0)","Bijol (DEF, ?) ==> (0.0, 0.0)"
WOL,-1,"Johnstone (GKP, ?) ==> (2.0, 2.056)","S.Bueno (DEF, ?) ==> (1.0, 1.389)","Krejčí (DEF, ?) ==> (1.0, 1.389)","H.Bueno (DEF, ?) ==> (1.0, 1.36)","Hoever (DEF, ?) ==> (0.0, 0.0)"
EVE,-2,"Pickford (GKP, ?) ==> (2.0, 1.944)","O'Brien (DEF, ?) ==> (2.0, 1.278)","Mykolenko (DEF, ?) ==> (1.0, 1.278)","Tarkowski (DEF, ?) ==> (3.0, 1.056)","Keane (DEF, ?) ==> (4.0, 0.833)"
NEW,-3,"Pope (GKP, ?) ==> (4.0, 1.833)","Trippier (DEF, ?) ==> (1.0, 1.667)","Thiaw (DEF, ?) ==> (1.0, 1.167)","Burn (DEF, ?) ==> (2.0, 0.833)","Schär (DEF, ?) ==> (1.0, 0.244)"
TOT,-4,"Vicario (GKP, ?) ==> (3.0, 1.611)","Romero (DEF, ?) ==> (2.0, 1.556)","Spence (DEF, ?) ==> (2.0, 1.556)","Van de Ven (DEF, ?) ==> (2.0, 1.056)","Pedro Porro (DEF, ?) ==> (4.0, 0.611)"
BRE,-5,"Kelleher (GKP, ?) ==> (2.0, 1.111)","Kayode (DEF, ?) ==> (2.0, 0.944)","Van den Berg (DEF, ?) ==> (3.0, 0.444)","Collins (DEF, ?) ==> (2.0, 0.444)","Ajer (DEF, ?) ==> (1.0, -0.144)"
WHU,-5,"Areola (GKP, ?) ==> (2.0, 1.944)","Wan-Bissaka (DEF, ?) ==> (1.0, 0.673)","Diouf (DEF, ?) ==> (2.0, 0.444)","Kilman (DEF, ?) ==> (1.0, 0.444)","Todibo (DEF, ?) ==> (0.0, 0.268)"
BUR,-6,"Dúbravka (GKP, ?) ==> (2.0, 2.667)","Walker (DEF, ?) ==> (1.0, 0.333)","Tuanzebe (DEF, ?) ==> (0.0, 0.0)","Hartman (DEF, ?) ==> (3.0, -0.333)","Estève (DEF, ?) ==> (1.0, -0.333)"
NFO,-6,"Sels (GKP, ?) ==> (2.0, 2.0)","N.Williams (DEF, ?) ==> (1.0, 1.0)","Milenković (DEF, ?) ==> (1.0, 1.0)","Murillo (DEF, ?) ==> (1.0, 0.833)","Savona (DEF, ?) ==> (0.0, -0.034)"
