team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
CHE,8,"Gusto (DEF, ?) ==> (5.633, 45.064)","Sanchez (GKP, ?) ==> (4.933, 39.464)","Disasi (DEF, ?) ==> (4.633, 37.064)","Colwill (DEF, ?) ==> (3.833, 30.664)","T.Silva (DEF, ?) ==> (3.833, 30.664)"
MCI,6,"Aké (DEF, ?) ==> (4.233, 25.398)","Ederson M. (GKP, ?) ==> (3.3, 19.8)","Walker (DEF, ?) ==> (3.067, 18.402)","Rúben (DEF, ?) ==> (2.8, 16.8)","Sergio Gómez (DEF, ?) ==> (2.233, 13.398)"
TOT,5,"Romero (DEF, ?) ==> (5.633, 28.165)","Udogie (DEF, ?) ==> (5.433, 27.165)","Vicario (GKP, ?) ==> (4.533, 22.665)","Pedro Porro (DEF, ?) ==> (4.333, 21.665)","Van de Ven (DEF, ?) ==> (3.033, 15.165)"
FUL,5,"Ream (DEF, ?) ==> (5.0, 25.0)","Leno (GKP, ?) ==> (4.567, 22.835)","Castagne (DEF, ?) ==> (4.5, 22.5)","Diop (DEF, ?) ==> (2.433, 12.165)","Tete (DEF, ?) ==> (2.267, 11.335)"
BRE,5,"Flekken (GKP, ?) ==> (2.767, 13.835)","Collins (DEF, ?) ==> (2.633, 13.165)","Pinnock (DEF, ?) ==> (2.3, 11.5)","Henry (DEF, ?) ==> (2.167, 10.835)","Hickey (DEF, ?) ==> (1.633, 8.165)"
NEW,5,"Botman (DEF, ?) ==> (4.233, 21.165)","Pope (GKP, ?) ==> (3.0, 15.0)","Trippier (DEF, ?) ==> (2.733, 13.665)","Schär (DEF, ?) ==> (2.5, 12.5)","Burn (DEF, ?) ==> (2.233, 11.165)"
ARS,4,"Raya (GKP, ?) ==> (6.233, 24.932)","Saliba (DEF, ?) ==> (3.933, 15.732)","White (DEF, ?) ==> (3.5, 14.0)","Zinchenko (DEF, ?) ==> (2.967, 11.868)","Gabriel (DEF, ?) ==> (2.233, 8.932)"
CRY,1,"Andersen (DEF, ?) ==> (4.633, 4.633)","Mitchell (DEF, ?) ==> (3.033, 3.033)","Guéhi (DEF, ?) ==> (2.2, 2.2)","Johnstone (GKP, ?) ==> (2.033, 2.033)","Ward (DEF, ?) ==> (1.567, 1.567)"
AVL,0,"Cash (DEF, ?) ==> (4.833, 0.0)","Digne (DEF, ?) ==> (3.9, 0.0)","Martinez (GKP, ?) ==> (2.333, 0.0)","Konsa (DEF, ?) ==> (2.033, 0.0)","Pau (DEF, ?) ==> (2.033, 0.0)"
BOU,-1,"Neto (GKP, ?) ==> (4.767, -0.21)","Kelly (DEF, ?) ==> (2.9, -0.345)","Zabarnyi (DEF, ?) ==> (2.367, -0.422)","Kerkez (DEF, ?) ==> (2.1, -0.476)","Aarons (DEF, ?) ==> (2.1, -0.476)"
LIV,-2,"Robertson (DEF, ?) ==> (5.167, -0.387)","A.Becker (GKP, ?) ==> (4.333, -0.462)","Alexander-Arnold (DEF, ?) ==> (4.1, -0.488)","Matip (DEF, ?) ==> (3.3, -0.606)","Gomez (DEF, ?) ==> (2.667, -0.75)"
MUN,-2,"Wan-Bissaka (DEF, ?) ==> (2.233, -0.896)","Onana (GKP, ?) ==> (1.967, -1.017)","Martinez (DEF, ?) ==> (1.333, -1.5)","Dalot (DEF, ?) ==> (1.0, -2.0)","Lindelof (DEF, ?) ==> (1.0, -2.0)"
NFO,-3,"Boly (DEF, ?) ==> (4.767, -0.629)","Turner (GKP, ?) ==> (2.967, -1.011)","McKenna (DEF, ?) ==> (2.6, -1.154)","Worrall (DEF, ?) ==> (2.6, -1.154)","Aina (DEF, ?) ==> (1.967, -1.525)"
EVE,-3,"Patterson (DEF, ?) ==> (2.333, -1.286)","Pickford (GKP, ?) ==> (1.733, -1.731)","Tarkowski (DEF, ?) ==> (1.5, -2.0)","Young (DEF, ?) ==> (1.233, -2.433)","Branthwaite (DEF, ?) ==> (1.0, -3.0)"
WOL,-4,"José Sá (GKP, ?) ==> (4.3, -0.93)","Kilman (DEF, ?) ==> (2.567, -1.558)","Dawson (DEF, ?) ==> (1.833, -2.182)","H.Bueno (DEF, ?) ==> (1.5, -2.667)","N.Semedo (DEF, ?) ==> (1.5, -2.667)"
BHA,-4,"Estupiñan (DEF, ?) ==> (3.8, -1.053)","Lamptey (DEF, ?) ==> (3.1, -1.29)","Veltman (DEF, ?) ==> (2.233, -1.791)","Dunk (DEF, ?) ==> (1.767, -2.264)","Verbruggen (GKP, ?) ==> (1.767, -2.264)"
WHU,-4,"Areola (GKP, ?) ==> (4.433, -0.902)","Zouma (DEF, ?) ==> (3.967, -1.008)","Coufal (DEF, ?) ==> (2.5, -1.6)","N.Aguerd (DEF, ?) ==> (2.0, -2.0)","Emerson (DEF, ?) ==> (1.633, -2.449)"
LUT,-5,"Andersen (DEF, ?) ==> (3.1, -1.613)","Kaminski (GKP, ?) ==> (1.633, -3.062)","Burke (DEF, ?) ==> (1.3, -3.846)","Kaboré (DEF, ?) ==> (1.233, -4.055)","Bell (DEF, ?) ==> (1.1, -4.545)"
BUR,-5,"Trafford (GKP, ?) ==> (1.767, -2.83)","Taylor (DEF, ?) ==> (1.567, -3.191)","Al-Dakhil (DEF, ?) ==> (1.0, -5.0)","Beyer (DEF, ?) ==> (0.9, -5.556)","Roberts (DEF, ?) ==> (0.767, -6.519)"
SHU,-6,"Bogle (DEF, ?) ==> (5.767, -1.04)","Foderingham (GKP, ?) ==> (2.867, -2.093)","Robinson (DEF, ?) ==> (1.633, -3.674)","Baldock (DEF, ?) ==> (1.1, -5.455)","Thomas (DEF, ?) ==> (1.0, -6.0)"
