team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
NFO,9,"Sels (GKP, ?) ==> (3.0, 3.667)","N.Williams (DEF, ?) ==> (1.0, 2.138)","Milenković (DEF, ?) ==> (6.0, 2.0)","Aina (DEF, ?) ==> (2.0, 2.0)","Murillo (DEF, ?) ==> (2.0, 2.0)"
CRY,6,"Henderson (GKP, ?) ==> (2.0, 3.056)","Guéhi (DEF, ?) ==> (2.0, 1.833)","Muñoz (DEF, ?) ==> (2.0, 1.833)","Mitchell (DEF, ?) ==> (2.0, 1.833)","Lacroix (DEF, ?) ==> (2.0, 1.833)"
FUL,4,"Leno (GKP, ?) ==> (3.0, 2.648)","Diop (DEF, ?) ==> (1.0, 1.722)","Robinson (DEF, ?) ==> (2.0, 1.5)","Bassey (DEF, ?) ==> (2.0, 1.5)","Castagne (DEF, ?) ==> (0.0, 0.574)"
MCI,4,"Gvardiol (DEF, ?) ==> (2.0, 1.722)","Lewis (DEF, ?) ==> (2.0, 1.722)","Akanji (DEF, ?) ==> (1.0, 1.722)","Ortega Moreno (GKP, ?) ==> (0.0, 0.0)","Aké (DEF, ?) ==> (0.0, 0.0)"
LIV,3,"A.Becker (GKP, ?) ==> (1.0, 2.444)","Alexander-Arnold (DEF, ?) ==> (2.0, 1.738)","Robertson (DEF, ?) ==> (1.5, 1.716)","Virgil (DEF, ?) ==> (3.5, 1.667)","Gomez (DEF, ?) ==> (0.0, 0.0)"
NEW,2,"Schär (DEF, ?) ==> (2.0, 2.0)","Hall (DEF, ?) ==> (2.0, 1.611)","Livramento (DEF, ?) ==> (2.0, 1.611)","Burn (DEF, ?) ==> (1.0, 1.611)","Dúbravka (GKP, ?) ==> (0.0, 0.0)"
BHA,2,"Verbruggen (GKP, ?) ==> (2.0, 2.352)","Veltman (DEF, ?) ==> (1.0, 2.0)","Dunk (DEF, ?) ==> (1.0, 2.0)","Van Hecke (DEF, ?) ==> (1.0, 1.611)","Estupiñan (DEF, ?) ==> (1.0, 1.611)"
CHE,2,"Sánchez (GKP, ?) ==> (2.0, 2.685)","Colwill (DEF, ?) ==> (1.0, 1.611)","Cucurella (DEF, ?) ==> (1.0, 1.611)","Gusto (DEF, ?) ==> (1.0, 1.498)","Tosin (DEF, ?) ==> (0.0, 0.0)"
WHU,2,"Fabianski (GKP, ?) ==> (1.0, 1.754)","Wan-Bissaka (DEF, ?) ==> (2.0, 1.611)","Mavropanos (DEF, ?) ==> (1.0, 1.611)","Emerson (DEF, ?) ==> (1.0, 1.437)","Areola (GKP, ?) ==> (0.0, 1.346)"
TOT,2,"Pedro Porro (DEF, ?) ==> (2.0, 1.611)","Dragusin (DEF, ?) ==> (1.0, 1.605)","Forster (GKP, ?) ==> (0.0, 0.0)","Spence (DEF, ?) ==> (0.0, 0.0)","Kinsky (GKP, ?) ==> (0.0, 0.0)"
ARS,-1,"Raya (GKP, ?) ==> (3.0, 2.074)","Gabriel (DEF, ?) ==> (2.0, 1.444)","Saliba (DEF, ?) ==> (2.0, 1.444)","J.Timber (DEF, ?) ==> (2.0, 1.444)","Calafiori (DEF, ?) ==> (0.0, 0.385)"
EVE,-1,"Pickford (GKP, ?) ==> (2.0, 2.407)","Branthwaite (DEF, ?) ==> (1.0, 2.0)","Young (DEF, ?) ==> (3.5, 1.722)","Tarkowski (DEF, ?) ==> (2.0, 1.444)","Mykolenko (DEF, ?) ==> (2.0, 1.444)"
BOU,-1,"Arrizabalaga (GKP, ?) ==> (2.0, 2.593)","Kerkez (DEF, ?) ==> (2.0, 1.444)","Zabarnyi (DEF, ?) ==> (2.0, 1.444)","Huijsen (DEF, ?) ==> (1.0, 0.479)","Hill (DEF, ?) ==> (0.0, 0.0)"
MUN,-2,"Onana (GKP, ?) ==> (2.0, 1.981)","Mazraoui (DEF, ?) ==> (1.0, 1.389)","Martinez (DEF, ?) ==> (1.0, 1.389)","De Ligt (DEF, ?) ==> (1.0, 1.111)","Maguire (DEF, ?) ==> (0.0, 0.419)"
AVL,-3,"Martinez (GKP, ?) ==> (2.0, 2.222)","Cash (DEF, ?) ==> (1.0, 1.356)","Konsa (DEF, ?) ==> (1.0, 1.333)","Digne (DEF, ?) ==> (2.0, 1.033)","Mings (DEF, ?) ==> (0.0, 0.0)"
SOU,-3,"Ramsdale (GKP, ?) ==> (2.0, 2.0)","Harwood-Bellis (DEF, ?) ==> (1.0, 1.333)","Bednarek (DEF, ?) ==> (1.0, 1.333)","Walker-Peters (DEF, ?) ==> (1.0, 0.833)","Wood (DEF, ?) ==> (0.0, 0.0)"
WOL,-4,"José Sá (GKP, ?) ==> (1.0, 1.648)","N.Semedo (DEF, ?) ==> (1.0, 1.278)","Aït-Nouri (DEF, ?) ==> (1.0, 0.778)","S.Bueno (DEF, ?) ==> (1.0, 0.556)","Doherty (DEF, ?) ==> (0.0, 0.255)"
IPS,-5,"Greaves (DEF, ?) ==> (0.0, 2.0)","O'Shea (DEF, ?) ==> (1.0, 1.222)","Johnson (DEF, ?) ==> (0.0, 0.181)","Walton (GKP, ?) ==> (0.0, 0.0)","Woolfenden (DEF, ?) ==> (0.0, 0.0)"
BRE,-8,"Flekken (GKP, ?) ==> (3.0, 1.63)","Collins (DEF, ?) ==> (1.0, 0.556)","Van den Berg (DEF, ?) ==> (1.0, 0.556)","Roerslev (DEF, ?) ==> (1.0, 0.063)","Mee (DEF, ?) ==> (0.0, 0.0)"
LEI,-8,"Justin (DEF, ?) ==> (1.0, 0.556)","Kristiansen (DEF, ?) ==> (1.0, 0.556)","Stolarczyk (GKP, ?) ==> (0.0, 0.0)","Coady (DEF, ?) ==> (0.0, 0.0)","Vestergaard (DEF, ?) ==> (0.0, -0.493)"
