team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
MUN,7,"Onana (GKP, ^^^) ==> (5.1, 4.533)","De Ligt (DEF, ^^^) ==> (4.75, 4.222)","Dalot (DEF, ^^^) ==> (4.65, 4.133)","Mazraoui (DEF, ^) ==> (4.25, 3.778)","Martinez (DEF, ^^^) ==> (2.9, 2.578)"
LIV,4,"A.Becker (GKP, vv) ==> (5.55, 4.008)","Virgil (DEF, vv) ==> (4.85, 3.503)","Alexander-Arnold (DEF, vv) ==> (4.75, 3.431)","Robertson (DEF, vv) ==> (4.55, 3.286)","Konaté (DEF, v) ==> (4.5, 3.25)"
BHA,4,"Veltman (DEF, ^^) ==> (4.25, 3.069)","Verbruggen (GKP, ^^) ==> (3.75, 2.708)","Dunk (DEF, ^^) ==> (3.65, 2.636)","Van Hecke (DEF, ^^^) ==> (3.4, 2.456)","Steele (GKP, vv) ==> (2.6, 1.878)"
IPS,4,"O'Shea (DEF, ^^^) ==> (5.25, 3.792)","Muric (GKP, ^^^) ==> (4.7, 3.394)","Davis (DEF, ^^^) ==> (3.9, 2.817)","Greaves (DEF, ^^^) ==> (2.45, 1.769)","Tuanzebe (DEF, ^^^) ==> (2.45, 1.769)"
CHE,3,"Sánchez (GKP, ^^^) ==> (5.5, 3.667)","Disasi (DEF, ^^^) ==> (4.0, 2.667)","W.Fofana (DEF, ^^^) ==> (2.75, 1.833)","Colwill (DEF, ^^^) ==> (2.45, 1.633)","Cucurella (DEF, ^^^) ==> (2.25, 1.5)"
NEW,2,"Pope (GKP, v) ==> (4.05, 2.475)","Schär (DEF, vvv) ==> (2.85, 1.742)","Livramento (DEF, v) ==> (2.35, 1.436)","Krafth (DEF, vv) ==> (2.3, 1.406)","Kelly (DEF, v) ==> (2.15, 1.314)"
AVL,2,"Digne (DEF, ~) ==> (4.05, 2.475)","Konsa (DEF, v) ==> (1.4, 0.856)","Pau (DEF, v) ==> (1.4, 0.856)","Martinez (GKP, vv) ==> (1.25, 0.764)","Maatsen (DEF, ~) ==> (1.0, 0.611)"
SOU,1,"Sugawara (DEF, vv) ==> (3.05, 1.694)","McCarthy (GKP, vv) ==> (2.15, 1.194)","Ramsdale (GKP, ^^^) ==> (2.1, 1.167)","Walker-Peters (DEF, v) ==> (1.4, 0.778)","Bednarek (DEF, ~) ==> (1.1, 0.611)"
ARS,0,"Gabriel (DEF, ^^^) ==> (7.45, 3.725)","Raya (GKP, ~) ==> (7.1, 3.55)","White (DEF, ~) ==> (4.85, 2.425)","Saliba (DEF, ~) ==> (4.55, 2.275)","J.Timber (DEF, ^^) ==> (3.6, 1.8)"
NFO,0,"Aina (DEF, ^^^) ==> (5.65, 2.825)","Sels (GKP, ^^^) ==> (5.35, 2.675)","Milenković (DEF, ^^) ==> (4.7, 2.35)","Murillo (DEF, ^^) ==> (4.6, 2.3)","N.Williams (DEF, vv) ==> (2.75, 1.375)"
TOT,0,"Romero (DEF, vv) ==> (5.25, 2.625)","Pedro Porro (DEF, vv) ==> (3.75, 1.875)","Van de Ven (DEF, vv) ==> (3.65, 1.825)","Vicario (GKP, ~) ==> (2.9, 1.45)","Udogie (DEF, vv) ==> (2.6, 1.3)"
MCI,0,"Ederson M. (GKP, ^^) ==> (4.25, 2.125)","Lewis (DEF, vv) ==> (3.4, 1.7)","Gvardiol (DEF, vv) ==> (2.35, 1.175)","Akanji (DEF, ~) ==> (2.25, 1.125)","Walker (DEF, ^^^) ==> (1.25, 0.625)"
