team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
TOT,6,"Van de Ven (DEF, ?) ==> (5.5, 33.0)","Pedro Porro (DEF, ?) ==> (5.3, 31.8)","Romero (DEF, ?) ==> (5.167, 31.002)","Vicario (GKP, ?) ==> (4.9, 29.4)","Udogie (DEF, ?) ==> (3.367, 20.202)"
MCI,6,"R.Lewis (DEF, ?) ==> (3.0, 18.0)","Walker (DEF, ?) ==> (2.9, 17.4)","Gvardiol (DEF, ?) ==> (2.433, 14.598)","Aké (DEF, ?) ==> (2.367, 14.202)","Stones (DEF, ?) ==> (1.333, 7.998)"
ARS,4,"White (DEF, ?) ==> (5.9, 23.6)","Raya (GKP, ?) ==> (4.767, 19.068)","Saliba (DEF, ?) ==> (4.3, 17.2)","Gabriel (DEF, ?) ==> (3.733, 14.932)","Zinchenko (DEF, ?) ==> (3.5, 14.0)"
LIV,4,"A.Becker (GKP, ?) ==> (4.1, 16.4)","Alexander-Arnold (DEF, ?) ==> (3.167, 12.668)","Virgil (DEF, ?) ==> (3.167, 12.668)","Tsimikas (DEF, ?) ==> (3.0, 12.0)","Konaté (DEF, ?) ==> (2.1, 8.4)"
NEW,3,"Trippier (DEF, ?) ==> (7.5, 22.5)","Pope (GKP, ?) ==> (4.167, 12.501)","Schär (DEF, ?) ==> (4.133, 12.399)","Burn (DEF, ?) ==> (4.1, 12.3)","Lascelles (DEF, ?) ==> (3.767, 11.301)"
CRY,3,"Andersen (DEF, ?) ==> (6.133, 18.399)","Johnstone (GKP, ?) ==> (4.967, 14.901)","Guéhi (DEF, ?) ==> (4.7, 14.1)","Clyne (DEF, ?) ==> (4.667, 14.001)","Mitchell (DEF, ?) ==> (3.7, 11.1)"
AVL,2,"Pau (DEF, ?) ==> (4.033, 8.066)","Cash (DEF, ?) ==> (3.9, 7.8)","Martinez (GKP, ?) ==> (3.033, 6.066)","Konsa (DEF, ?) ==> (3.0, 6.0)","Digne (DEF, ?) ==> (2.767, 5.534)"
CHE,1,"Colwill (DEF, ?) ==> (4.2, 4.2)","Sanchez (GKP, ?) ==> (3.767, 3.767)","Disasi (DEF, ?) ==> (3.7, 3.7)","T.Silva (DEF, ?) ==> (3.067, 3.067)","Cucurella (DEF, ?) ==> (2.0, 2.0)"
FUL,0,"Leno (GKP, ?) ==> (3.5, 0.0)","Ream (DEF, ?) ==> (2.833, 0.0)","Castagne (DEF, ?) ==> (2.567, 0.0)","Diop (DEF, ?) ==> (2.267, 0.0)","Robinson (DEF, ?) ==> (1.567, 0.0)"
MUN,0,"Dalot (DEF, ?) ==> (3.733, 0.0)","Evans (DEF, ?) ==> (2.867, 0.0)","Onana (GKP, ?) ==> (2.767, 0.0)","Lindelof (DEF, ?) ==> (2.6, 0.0)","Maguire (DEF, ?) ==> (2.467, 0.0)"
BUR,0,"Trafford (GKP, ?) ==> (2.0, 0.0)","Al-Dakhil (DEF, ?) ==> (0.933, 0.0)","Roberts (DEF, ?) ==> (0.867, 0.0)","Beyer (DEF, ?) ==> (0.833, 0.0)","Taylor (DEF, ?) ==> (0.833, 0.0)"
BRE,-1,"Flekken (GKP, ?) ==> (2.967, -0.337)","Pinnock (DEF, ?) ==> (2.9, -0.345)","Collins (DEF, ?) ==> (2.633, -0.38)","Strakosha (GKP, ?) ==> (2.333, -0.429)","Ajer (DEF, ?) ==> (2.233, -0.448)"
WHU,-1,"Coufal (DEF, ?) ==> (4.367, -0.229)","Areola (GKP, ?) ==> (3.433, -0.291)","Zouma (DEF, ?) ==> (2.833, -0.353)","Emerson (DEF, ?) ==> (2.567, -0.39)","N.Aguerd (DEF, ?) ==> (2.233, -0.448)"
