team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
ARS,11,"Saliba (DEF, ?) ==> (6.5, 71.5)","Ramsdale (GKP, ?) ==> (4.0, 44.0)","White (DEF, ?) ==> (4.0, 44.0)","Tomiyasu (DEF, ?) ==> (2.0, 22.0)","Gabriel (DEF, ?) ==> (1.0, 11.0)"
MCI,10,"Akanji (DEF, ?) ==> (6.5, 65.0)","Ederson M. (GKP, ?) ==> (6.0, 60.0)","Walker (DEF, ?) ==> (6.0, 60.0)","Aké (DEF, ?) ==> (5.833, 58.33)","Rúben (DEF, ?) ==> (5.833, 58.33)"
BRE,9,"Henry (DEF, ?) ==> (4.5, 40.5)","Flekken (GKP, ?) ==> (4.0, 36.0)","Pinnock (DEF, ?) ==> (4.0, 36.0)","Collins (DEF, ?) ==> (3.5, 31.5)","Ajer (DEF, ?) ==> (2.5, 22.5)"
TOT,8,"Romero (DEF, ?) ==> (6.5, 52.0)","Vicario (GKP, ?) ==> (6.0, 48.0)","Pedro Porro (DEF, ?) ==> (5.0, 40.0)","E.Royal (DEF, ?) ==> (4.5, 36.0)","Van de Ven (DEF, ?) ==> (4.0, 32.0)"
CRY,7,"Andersen (DEF, ?) ==> (5.5, 38.5)","Mitchell (DEF, ?) ==> (5.0, 35.0)","Guéhi (DEF, ?) ==> (4.0, 28.0)","Johnstone (GKP, ?) ==> (4.0, 28.0)","Ward (DEF, ?) ==> (4.0, 28.0)"
AVL,6,"Digne (DEF, ?) ==> (4.5, 27.0)","Martinez (GKP, ?) ==> (4.5, 27.0)","Konsa (DEF, ?) ==> (3.0, 18.0)","Pau (DEF, ?) ==> (3.0, 18.0)","Cash (DEF, ?) ==> (2.5, 15.0)"
FUL,5,"Leno (GKP, ?) ==> (7.0, 35.0)","Diop (DEF, ?) ==> (4.5, 22.5)","Robinson (DEF, ?) ==> (3.5, 17.5)","Tete (DEF, ?) ==> (3.0, 15.0)","Ream (DEF, ?) ==> (2.5, 12.5)"
MUN,4,"R.Varane (DEF, ?) ==> (7.5, 30.0)","Wan-Bissaka (DEF, ?) ==> (6.5, 26.0)","Onana (GKP, ?) ==> (5.5, 22.0)","Shaw (DEF, ?) ==> (3.0, 12.0)","Dalot (DEF, ?) ==> (0.833, 3.332)"
BHA,-2,"Estupiñan (DEF, ?) ==> (9.0, -0.222)","Steele (GKP, ?) ==> (2.5, -0.8)","Dunk (DEF, ?) ==> (2.0, -1.0)","Van Hecke (DEF, ?) ==> (1.667, -1.2)","Veltman (DEF, ?) ==> (1.0, -2.0)"
NFO,-2,"Aurier (DEF, ?) ==> (5.5, -0.364)","Turner (GKP, ?) ==> (2.0, -1.0)","McKenna (DEF, ?) ==> (1.5, -1.333)","Williams (DEF, ?) ==> (1.5, -1.333)","Worrall (DEF, ?) ==> (1.5, -1.333)"
NEW,-3,"Botman (DEF, ?) ==> (3.5, -0.857)","Pope (GKP, ?) ==> (3.0, -1.0)","Burn (DEF, ?) ==> (2.0, -1.5)","Schär (DEF, ?) ==> (2.0, -1.5)","Trippier (DEF, ?) ==> (2.0, -1.5)"
WHU,-3,"Areola (GKP, ?) ==> (6.5, -0.462)","N.Aguerd (DEF, ?) ==> (3.5, -0.857)","Emerson (DEF, ?) ==> (2.5, -1.2)","Coufal (DEF, ?) ==> (2.0, -1.5)","Zouma (DEF, ?) ==> (2.0, -1.5)"
LIV,-3,"A.Becker (GKP, ?) ==> (2.5, -1.2)","Konaté (DEF, ?) ==> (2.0, -1.5)","Robertson (DEF, ?) ==> (2.0, -1.5)","Virgil (DEF, ?) ==> (2.0, -1.5)","Alexander-Arnold (DEF, ?) ==> (1.5, -2.0)"
CHE,-5,"Disasi (DEF, ?) ==> (5.5, -0.909)","Chilwell (DEF, ?) ==> (4.0, -1.25)","Sanchez (GKP, ?) ==> (2.0, -2.5)","Colwill (DEF, ?) ==> (1.5, -3.333)","T.Silva (DEF, ?) ==> (1.5, -3.333)"
WOL,-5,"José Sá (GKP, ?) ==> (1.5, -3.333)","Bueno (DEF, ?) ==> (1.0, -5.0)","N.Semedo (DEF, ?) ==> (1.0, -5.0)","Toti (DEF, ?) ==> (0.833, -6.002)","Aït-Nouri (DEF, ?) ==> (0.5, -10.0)"
