team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
MUN,7,"Dalot (DEF, ~) ==> (4.4, 30.8)","De Gea (GKP, ~) ==> (4.267, 29.869)","Wan-Bissaka (DEF, vv) ==> (3.333, 23.331)","Malacia (DEF, ~) ==> (3.067, 21.469)","Lindelöf (DEF, ~) ==> (2.667, 18.669)"
CHE,5,"Arrizabalaga (GKP, v) ==> (4.0, 20.0)","Chilwell (DEF, vv) ==> (2.333, 11.665)","James (DEF, vv) ==> (2.133, 10.665)","W.Fofana (DEF, vv) ==> (1.933, 9.665)","Chalobah (DEF, ~) ==> (1.667, 8.335)"
MCI,4,"Stones (DEF, ^) ==> (4.533, 18.132)","Aké (DEF, ^^^) ==> (3.467, 13.868)","Dias (DEF, ~) ==> (2.867, 11.468)","Ederson (GKP, vv) ==> (2.8, 11.2)","Walker (DEF, ^) ==> (2.4, 9.6)"
LIV,3,"Alexander-Arnold (DEF, ^) ==> (4.6, 13.8)","Alisson (GKP, ~) ==> (3.967, 11.901)","Van Dijk (DEF, ~) ==> (3.133, 9.399)","Robertson (DEF, ~) ==> (3.1, 9.3)","Matip (DEF, ^^) ==> (2.433, 7.299)"
AVL,3,"Mings (DEF, ^^^) ==> (4.733, 14.199)","Álex Moreno (DEF, ~) ==> (4.533, 13.599)","Martínez (GKP, ~) ==> (4.2, 12.6)","Young (DEF, ~) ==> (3.6, 10.8)","Konsa (DEF, ^) ==> (3.533, 10.599)"
NEW,2,"Trippier (DEF, v) ==> (4.2, 8.4)","Pope (GKP, v) ==> (4.133, 8.266)","Schär (DEF, v) ==> (3.733, 7.466)","Botman (DEF, ~) ==> (3.2, 6.4)","Burn (DEF, v) ==> (2.8, 5.6)"
BHA,2,"Steele (GKP, ^^^) ==> (5.667, 11.334)","Estupiñán (DEF, ^^) ==> (3.8, 7.6)","Dunk (DEF, ~) ==> (3.667, 7.334)","Webster (DEF, ~) ==> (2.933, 5.866)","Veltman (DEF, v) ==> (2.667, 5.334)"
ARS,1,"White (DEF, vv) ==> (3.533, 3.533)","Gabriel (DEF, vv) ==> (2.933, 2.933)","Ramsdale (GKP, ~) ==> (2.933, 2.933)","Zinchenko (DEF, vv) ==> (2.6, 2.6)","Holding (DEF, ^^^) ==> (1.667, 1.667)"
TOT,1,"Perišić (DEF, ~) ==> (2.667, 2.667)","Lloris (GKP, vv) ==> (2.667, 2.667)","Pedro Porro (DEF, ^^) ==> (2.6, 2.6)","Lenglet (DEF, vv) ==> (1.933, 1.933)","Romero (DEF, ~) ==> (1.867, 1.867)"
CRY,0,"Johnstone (GKP, vv) ==> (4.8, 0.0)","Guéhi (DEF, vv) ==> (3.2, 0.0)","Ward (DEF, vv) ==> (2.733, 0.0)","Mitchell (DEF, vv) ==> (2.667, 0.0)","Andersen (DEF, vv) ==> (2.533, 0.0)"
FUL,0,"Leno (GKP, ~) ==> (3.367, 0.0)","Ream (DEF, vv) ==> (2.5, 0.0)","Robinson (DEF, ~) ==> (2.333, 0.0)","Tete (DEF, vv) ==> (2.133, 0.0)","Tosin (DEF, ~) ==> (1.9, 0.0)"
BOU,0,"Neto (GKP, ^) ==> (3.933, 0.0)","Kelly (DEF, ^^^) ==> (3.0, 0.0)","Viña (DEF, ^^) ==> (2.6, 0.0)","Mepham (DEF, ^^) ==> (2.133, 0.0)","Smith (DEF, v) ==> (2.0, 0.0)"
BRE,-1,"Raya (GKP, ^) ==> (4.067, -0.246)","Mee (DEF, ~) ==> (3.267, -0.306)","Pinnock (DEF, ~) ==> (3.0, -0.333)","Henry (DEF, ~) ==> (2.8, -0.357)","Zanka (DEF, ^^^) ==> (2.467, -0.405)"
WOL,-1,"Sá (GKP, ~) ==> (4.133, -0.242)","Dawson (DEF, ~) ==> (3.333, -0.3)","Kilman (DEF, ~) ==> (3.267, -0.306)","Semedo (DEF, ~) ==> (2.8, -0.357)","Toti (DEF, vv) ==> (2.0, -0.5)"
NFO,-1,"Navas (GKP, ^) ==> (2.133, -0.469)","Renan Lodi (DEF, ^^^) ==> (1.8, -0.556)","N.Williams (DEF, v) ==> (1.733, -0.577)","Worrall (DEF, ~) ==> (1.733, -0.577)","Niakhaté (DEF, ~) ==> (1.4, -0.714)"
SOU,-2,"Caleta-Car (DEF, v) ==> (2.0, -1.0)","Bazunu (GKP, vv) ==> (1.933, -1.035)","Bella-Kotchap (DEF, vv) ==> (1.733, -1.154)","McCarthy (GKP, ^^^) ==> (1.6, -1.25)","Walker-Peters (DEF, v) ==> (1.533, -1.305)"
WHU,-4,"Fabianski (GKP, vv) ==> (3.4, -1.176)","Zouma (DEF, vv) ==> (3.233, -1.237)","Cresswell (DEF, vv) ==> (3.0, -1.333)","Aguerd (DEF, ~) ==> (2.8, -1.429)","Coufal (DEF, vv) ==> (2.567, -1.558)"
EVE,-6,"Pickford (GKP, ^^) ==> (3.8, -1.579)","Keane (DEF, vv) ==> (2.533, -2.369)","Tarkowski (DEF, vv) ==> (2.4, -2.5)","Mykolenko (DEF, vv) ==> (2.133, -2.813)","Holgate (DEF, vv) ==> (1.867, -3.214)"
LEI,-6,"Castagne (DEF, v) ==> (3.2, -1.875)","Söyüncü (DEF, ^^^) ==> (2.733, -2.195)","Faes (DEF, ~) ==> (2.267, -2.647)","Iversen (GKP, ~) ==> (2.2, -2.727)","Kristiansen (DEF, ~) ==> (1.6, -3.75)"
LEE,-7,"Meslier (GKP, ~) ==> (2.067, -3.387)","Ayling (DEF, vv) ==> (1.333, -5.251)","Cooper (DEF, vv) ==> (1.333, -5.251)","Koch (DEF, ~) ==> (1.2, -5.833)","Llorente (DEF, vv) ==> (0.0, -inf)"
