team,defAdv_nxtGWs,defPlayer1,defPlayer2,defPlayer3,defPlayer4,defPlayer5
LIV,25,"A.Becker (GKP, ?) ==> (7.0, 27.222)","Alexander-Arnold (DEF, ?) ==> (6.7, 26.056)","Robertson (DEF, ?) ==> (6.0, 23.333)","Virgil (DEF, ?) ==> (6.0, 23.333)","Konaté (DEF, ?) ==> (4.7, 18.278)"
ARS,20,"Raya (GKP, ?) ==> (6.7, 24.194)","Gabriel (DEF, ?) ==> (4.7, 16.972)","Saliba (DEF, ?) ==> (4.7, 16.972)","White (DEF, ?) ==> (4.7, 16.972)","J.Timber (DEF, ?) ==> (2.7, 9.75)"
MCI,17,"Lewis (DEF, ?) ==> (4.7, 16.189)","Ederson M. (GKP, ?) ==> (4.0, 13.778)","Gvardiol (DEF, ?) ==> (3.7, 12.744)","Akanji (DEF, ?) ==> (3.0, 10.333)","Rúben (DEF, ?) ==> (2.3, 7.922)"
NFO,12,"Aina (DEF, ?) ==> (4.0, 12.667)","Murillo (DEF, ?) ==> (3.7, 11.717)","Sels (GKP, ?) ==> (3.7, 11.717)","Milenković (DEF, ?) ==> (3.35, 10.608)","N.Williams (DEF, ?) ==> (3.0, 9.5)"
NEW,12,"Pope (GKP, ?) ==> (5.3, 16.783)","Krafth (DEF, ?) ==> (3.3, 10.45)","Livramento (DEF, ?) ==> (3.3, 10.45)","Hall (DEF, ?) ==> (2.3, 7.283)","Kelly (DEF, ?) ==> (2.3, 7.283)"
AVL,11,"Digne (DEF, ?) ==> (3.7, 11.511)","Martinez (GKP, ?) ==> (2.0, 6.222)","Konsa (DEF, ?) ==> (1.7, 5.289)","Pau (DEF, ?) ==> (1.7, 5.289)","Cash (DEF, ?) ==> (1.25, 3.889)"
BHA,10,"Veltman (DEF, ?) ==> (4.0, 12.222)","Steele (GKP, ?) ==> (3.75, 11.458)","Dunk (DEF, ?) ==> (3.3, 10.083)","Van Hecke (DEF, ?) ==> (3.0, 9.167)","Verbruggen (GKP, ?) ==> (2.65, 8.097)"
MUN,6,"Mazraoui (DEF, ?) ==> (4.3, 12.183)","Dalot (DEF, ?) ==> (3.0, 8.5)","Maguire (DEF, ?) ==> (2.7, 7.65)","Martinez (DEF, ?) ==> (2.7, 7.65)","Onana (GKP, ?) ==> (2.7, 7.65)"
TOT,3,"Romero (DEF, ?) ==> (5.7, 15.2)","Pedro Porro (DEF, ?) ==> (5.3, 14.133)","Van de Ven (DEF, ?) ==> (4.6, 12.267)","Udogie (DEF, ?) ==> (3.0, 8.0)","Vicario (GKP, ?) ==> (3.0, 8.0)"
FUL,3,"Robinson (DEF, ?) ==> (4.3, 11.467)","Leno (GKP, ?) ==> (3.0, 8.0)","Diop (DEF, ?) ==> (2.0, 5.333)","Tete (DEF, ?) ==> (2.0, 5.333)","Bassey (DEF, ?) ==> (1.7, 4.533)"
